date,category,count,notes,source,source_url,retrieved_date
2025-09-30,harrell_dashboard_claim,1991,Mayor's dashboard claim (revised down from 2016),Axios Seattle,https://www.axios.com/local/seattle/2025/09/30/seattle-homelessness-housing-harrell-promise-shortfall,2026-01-04
2025-09-30,harrell_minus_replacements,1800,"After removing 194 replaced/relocated units (not net new)",Axios Seattle,https://www.axios.com/local/seattle/2025/09/30/seattle-homelessness-housing-harrell-promise-shortfall,2026-01-04
2025-09-30,harrell_net_new,1300,"After removing 556 units from projects already underway pre-Harrell",Axios Seattle,https://www.axios.com/local/seattle/2025/09/30/seattle-homelessness-housing-harrell-promise-shortfall,2026-01-04
2025-09-30,replaced_relocated_units,194,Units counted as new but were replacements/relocations,Axios Seattle,https://www.axios.com/local/seattle/2025/09/30/seattle-homelessness-housing-harrell-promise-shortfall,2026-01-04
2025-09-30,pre_harrell_projects,556,Units in 7 projects that were underway before Harrell took office,Axios Seattle,https://www.axios.com/local/seattle/2025/09/30/seattle-homelessness-housing-harrell-promise-shortfall,2026-01-04
2026-01-06,wilson_baseline,0,"Wilson's starting point - only counts NEW units from inauguration forward",Dashboard baseline,NA,2026-01-04
